"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
33,"electro","3GYlZ7tbxLOxe6ewMNVTkw","TV","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","1YPWxMpQEC8kcOuefgXbhj","Guitar Songs","2022-07-21"
33,"electro","4RVwu0g32PAqgUiJoXsdF8","Happier Than Ever","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","0JGOiO34nwfUdDrD612dOp","Happier Than Ever","2021-07-30"
33,"electro","7BKLCZ1jbUBVqRi2FVlTVw","Closer","26VFTg2z8YR0cCuwLzESi2","Halsey","0rSLgV8p5FzfnqlEk4GzxE","Closer","2016-07-29"
33,"electro","3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","4i3rAwPw7Ln2YrKDusaWyT","everything i wanted","2019-11-13"
33,"electro","51FvjPEGKq2zByeeEQ43V9","El Merengue","0tmwSHipWxN12fsoLcFU3B","Manuel Turizo","6sU751LOdNBPvVErW1GunP","El Merengue","2023-03-03"
33,"electro","6RUKPb4LETWmmr3iAEQktW","Something Just Like This","4gzpq5DPGxSnKTe4SA8HAU","Coldplay","4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","2017-04-07"
33,"electro","6NdnvPwQvZb147DVa4x14h","Heartbroken (feat. Jessie Murph & Polo G)","6AgTAQt8XS6jRWi4sX7w49","Polo G","4cfA6cGpQSXr8jMMxfnNaS","Heartbroken (feat. Jessie Murph & Polo G)","2023-07-21"
33,"electro","5r5cp9IpziiIsR6b93vcnQ","Walking On A Dream","67hb7towEyKvt5Z8Bx306c","Empire of the Sun","5B6XfyHHYawyLkEvNvhSPh","Walking On A Dream (10th Anniversary Edition)","2008-10-03"
33,"electro","4qu63nuBpdn0qHUHuObEj1","Leave Before You Love Me (with Jonas Brothers)","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","66JuK41D3LpkbX3HCTGcQk","Leave Before You Love Me","2021-05-21"
34,"electronic","0ITaSRuI0L1RNL7ZNYTTi7","U Are My High (with Future)","1RyvyyTE3xzB2ZywiAwp0i","Future","3fG4IID2LEPJ7iBSsnVvuG","U Are My High (with Future)","2021-12-03"
34,"electronic","0lYBSQXN6rCTvUZvg9S0lU","Let Me Love You","1uNFoZAHBGtllmzznpCI3s","Justin Bieber","02sEJTj1sye1JaqxqpcSCp","Encore","2016-08-05"
34,"electronic","2oDqmfa2g8W893LlwJG1qu","Closer","0X380XXQSNBYuleKzav5UO","Nine Inch Nails","3nJnyDV8fwFpffo0EyHQto","The Downward Spiral","1994-03-08"
34,"electronic","57kR5SniQIbsbVoIjjOUDa","You Know You Like It","2VAnyOxzJuSAj7XIuEOT38","AlunaGeorge","6mQGo1a9mXHNUSJYwXi9Wd","You Know You Like It","2014-10-14"
34,"electronic","0g5EKLgdKvNlln7TNqBByK","Middle","0CjWKoS55T7DOt0HJuwF1H","Bipolar Sunshine","02sEJTj1sye1JaqxqpcSCp","Encore","2016-08-05"
34,"electronic","4LIM4qmpHABufePRrLWbiM","QKThr","6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","2oJo7cB45gMVuRsaWNwDq2","Drukqs","2001-10-22"
34,"electronic","2qLSXZuIHMsKydCEFDchc3","Bang Bang Bang Bang","1KNXft7nnRQj82sENi7WGN","Sohodolls","6DK0TneKMKj64I93VCG1bW","Ribbed Music For The Numb Generation","2007-09-24"
34,"electronic","67awxiNHNyjMXhVgsHuIrs","Turn Down for What","7sfl4Xt5KmfyDs2T3SVSMK","Lil Jon","3zo0Hxh9rjJsdw2JAKReE3","Turn Down for What","2013-12-18"
